                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.8352,                 2.2567,                  1.094,                0.94027,                0.71108,                0.61438,                0.61789,                0.28491,                0.67488,                0.49522,                0.52018,                0.19167,                 2.0263,                  2.787,                 1.3713,                 0.9911,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.8048,                 2.1695,                 1.0704,                0.93177,                0.72665,                0.52941,                0.56411,                0.26078,                0.64143,                0.46732,                0.48212,                0.17278,                 2.0274,                 2.8037,                 1.5987,                 1.0011,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.8208,                  2.189,                 1.0642,                0.92356,                0.71088,                0.55442,                0.58411,                0.27247,                0.62496,                0.47712,                0.49614,                0.18451,                 2.0336,                 2.8967,                 1.3857,                 1.0012,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.7958,                 2.1471,                 1.0931,                0.92374,                0.67945,                0.61649,                0.60567,                0.28721,                0.63923,                0.55008,                0.56349,                0.20634,                 1.9652,                 2.5487,                  1.355,                0.98434,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.7955,                 2.1061,                 1.0793,                0.94383,                0.72592,                0.62092,                  0.644,                0.30072,                0.65629,                0.55882,                0.56611,                0.19908,                 1.9606,                 2.6575,                 1.2775,                0.99336,               0.000944,               0.000944,               0.000944
                     83,                 1.7874,                 2.1599,                   1.03,                0.93395,                0.72514,                0.62938,                0.63736,                0.27275,                 0.6531,                0.47374,                0.48464,                0.17111,                 1.9922,                  2.816,                 1.2953,                0.97645,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.7955,                 2.1338,                 1.0598,                  0.927,                0.74596,                 0.5915,                0.62847,                0.28282,                0.65529,                0.51961,                0.55219,                0.18135,                  2.012,                 2.6343,                  1.368,                0.99322,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.7482,                 2.1796,                 1.0423,                 0.9317,                0.69971,                0.60458,                0.62895,                0.27687,                0.55311,                0.47712,                 0.4615,                0.16096,                 2.1071,                 2.5694,                 1.3591,                 1.0052,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.7599,                 2.1286,                 1.0187,                0.92803,                0.77502,                0.62745,                0.68891,                0.30983,                0.69852,                0.52245,                0.56811,                0.20104,                 1.9307,                 2.6058,                   1.24,                0.98126,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.7718,                 2.1822,                 1.0305,                0.91968,                0.70268,                0.66667,                0.68576,                0.33086,                0.71133,                0.53595,                0.60071,                0.23351,                 1.9443,                 2.5948,                 1.2864,                0.97871,               0.000878,               0.000878,               0.000878
                     88,                 1.8122,                 2.1477,                 1.0631,                0.94077,                0.68346,                0.64052,                0.65605,                0.30607,                0.59207,                0.57393,                0.55729,                0.20782,                 1.9858,                 2.6625,                 1.3817,                0.98553,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.7319,                 2.1713,                 0.9926,                0.93044,                0.69211,                0.56863,                0.61507,                   0.29,                0.63298,                0.48693,                0.52372,                0.20131,                 2.1399,                 2.7676,                 1.4267,                 1.0146,              0.0008516,              0.0008516,              0.0008516
                     90,                  1.732,                 2.0972,                0.99101,                0.91584,                0.71994,                0.62745,                0.65763,                0.31699,                0.71401,                0.53034,                0.57731,                0.21904,                 1.9604,                  2.709,                 1.2994,                0.98673,              0.0008384,              0.0008384,              0.0008384
                     91,                  1.707,                 2.1198,                  1.001,                0.91522,                0.73669,                0.63725,                0.64871,                0.30211,                0.63897,                0.54575,                0.55171,                0.19685,                 2.0524,                 2.7597,                 1.3268,                0.99361,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.7268,                  2.075,                0.98434,                0.91879,                0.74732,                0.60784,                 0.6546,                0.29513,                0.67438,                0.51634,                0.55139,                0.19982,                 2.0204,                  2.613,                 1.3292,                 1.0004,               0.000812,               0.000812,               0.000812
                     93,                  1.719,                 2.1013,                0.97178,                0.92176,                0.74428,                0.62777,                0.63561,                0.29692,                0.66533,                0.51961,                0.53957,                0.20318,                 1.9756,                 2.8865,                 1.2695,                0.97839,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.6968,                 2.1266,                0.97628,                0.91392,                0.71982,                0.57516,                0.59542,                0.26843,                0.65985,                0.52614,                0.52553,                0.19316,                 2.0621,                  2.854,                 1.3583,                 1.0036,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.7647,                 2.1409,                0.99553,                0.92055,                0.71888,                0.57843,                0.63911,                0.30098,                0.71581,                0.45752,                0.51846,                0.18449,                 2.0548,                 2.8729,                 1.3746,                0.99872,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.7579,                 2.1707,                0.99707,                0.92199,                0.70203,                0.62418,                0.64662,                0.30036,                0.68974,                0.47712,                0.54076,                0.20449,                 2.0038,                 2.6022,                 1.2865,                0.98364,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.7012,                 2.0968,                0.95306,                0.91237,                0.75597,                0.58717,                0.64528,                0.29889,                0.66146,                0.52941,                0.56411,                0.20542,                 2.0183,                 2.8252,                 1.3305,                0.99706,               0.000746,               0.000746,               0.000746
                     98,                 1.6788,                 2.0583,                0.95135,                0.91763,                 0.7297,                0.66993,                 0.6937,                0.32521,                0.66715,                0.55021,                0.58395,                0.22052,                 1.9471,                 2.7681,                 1.3478,                0.98013,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.6676,                 2.0563,                0.92699,                0.90673,                0.70847,                0.62092,                0.64599,                0.30248,                0.68639,                0.50654,                0.55642,                0.19464,                 2.0144,                 2.8761,                 1.2514,                0.98625,              0.0007196,              0.0007196,              0.0007196
